DATE,PM2.5,T2MWET,T2MDEW,T2M,QV10M,PS,TQV,TQL,H1000,DISPH,U2M,V2M,U50M,V50M,U850,V850,QLML,FRCAN,HLML,SPEED,SPEEDMAX,RHOA,CIG,VIS,TMP,DEW,WD,WS,CLDCR,CLDHT,v_2m,d_2m,v_50m,d_50m,v_850,d_850
2018-01-01 01:00:00,69.2,283.94345,283.9444299999999,286.79376,0.007823254,100865.09,34.909637,0.009235382,160.25461,0.2562256,0.1896187,0.38488576,0.4246276,0.88262016,-0.39881825,6.1628857,0.007700914,1.0,63.907425,1.4493148,1.4889636999999998,1.2161593000000002,,,,,,,,,,,,,,
2018-01-01 02:00:00,75.5,283.87656,283.87836,286.48932,0.007821957,100819.56,35.19538499999999,0.006259918,156.44829,0.2562256,0.24318957,0.29640204,0.5447856,0.6812560000000001,-0.21787739,5.9937496,0.00772036,1.0,63.832478,1.4473168,1.493476,1.2171253999999998,,,,,,,,,,,,,,
2018-01-01 03:00:00,90.2,283.7609,283.7563,286.24753,0.0078070719999999,100793.71,35.59098400000001,0.0034885406,154.54437,0.25610352,0.19508255,0.27747428,0.38353336,0.6207614,-0.2170918,5.9118404,0.0077355819999999,0.99316406,63.766266,1.3906825,1.4831715,1.2180848,,,,,,,,,,,,,,
2018-01-01 04:00:00,97.6,283.66614,283.65967,285.9636,0.0078037414,100791.8,35.827934,0.002313614,154.16836999999995,0.25598145,0.13247478,0.27567452,0.21302843,0.6313707,-0.10873175,5.884082,0.007762253,0.92749023,63.718185,1.3522544,1.4091463,1.2189716999999998,,,,,,,,,,,,,,
2018-01-01 05:00:00,89.1,283.64264,283.64365,285.8601,0.007821904,100808.45,35.95388,0.0014796257,155.72943,0.25585938,0.08734,0.24328998,0.021363974,0.5406866,0.08485031,5.7954006,0.0077987546,0.7861328000000001,63.68428,1.2780696000000002,1.3930014,1.2198305,,,,,,,,,,,,,,
2018-01-01 06:00:00,92.0,283.67984,283.6830700000001,285.8914200000001,0.007850635,100860.19,36.09451,0.00045979023,159.62518,0.25585938,0.038037658,0.20001112,-0.18723631,0.43153757,0.2252965,5.6074495,0.007833778,0.62353516,63.657104,1.1687618,1.2592785,1.2209005,,,,,,,,,,,,,,
2018-01-01 07:00:00,92.5,284.6679,284.6632,287.004,0.008141176,100922.625,36.156315,0.00025200844,165.16502,0.2557373,-0.14264119,0.14236696,-0.3957963,0.31351072,0.21509123,5.495378,0.007907374,0.4610595999999999,63.681324,1.0285826999999998,1.118842,1.2212735,1067.0,8000.0,16.0,12.0,80.0,1.5,0.7,1067.0,,,,,,
2018-01-01 08:00:00,108.8,285.07477,285.0678,289.27155,0.008286985,100984.234,36.141056,0.000254035,170.47208999999995,0.25561523,-1.0500935,0.7250209,-1.6127055,1.1976264,0.119841814,5.492275,0.008053432,0.37158203,64.05715,1.8943553,2.4572978,1.214762,975.0,7000.0,16.0,12.0,80.0,1.5,0.7,975.0,,,,,,
2018-01-01 09:00:00,106.0,285.83344,285.82562,291.17773,0.008603109,100989.625,36.109924,0.0023355484,171.58229,0.25549316,-1.4425291,1.1920208,-2.039262,1.7947828,0.05554986,5.5889378,0.008275501,0.3088379,64.39941999999999,2.723199,2.8652802000000004,1.208421,1006.0,7000.0,17.0,12.0,80.0,3.1,0.4,762.0,,,,,,
2018-01-01 10:00:00,106.6,286.5636,286.5619200000001,292.3912,0.0089818219999999,100927.56,36.411427,0.012233734,166.8262,0.25549316,-1.5239295,1.4014225,-2.1224537,2.0776346,-0.12142968,5.7668843,0.008597456,0.2723389,64.62483,3.0088942000000003,3.139026,1.2035286,1006.0,6000.0,17.0,12.0,50.0,2.1,0.4,762.0,,,,,,
